City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Mehamn,NO,71.0357,27.8492,27.91,97,100,21.54,snow
276,Hirara,JP,24.8,125.2833,64.4,68,20,9.22,few clouds
277,Kindberg,AT,47.5,15.45,28.0,94,100,2.3,light snow
278,Abay,KZ,49.6311,72.8539,-29.2,68,0,6.71,clear sky
279,Yicheng,CN,31.3705,119.8703,46.99,58,30,5.66,scattered clouds
280,Ketchikan,US,55.3422,-131.6461,39.2,93,75,6.91,light rain
281,Vanavara,RU,60.34,102.2797,-9.72,88,100,10.89,overcast clouds
282,Jaciara,BR,-15.9653,-54.9683,75.2,89,100,1.63,light rain
283,Kapoeta,SS,4.7717,33.5903,80.64,31,47,8.63,scattered clouds
284,Yerofey Pavlovich,RU,53.9667,121.9667,-22.14,83,42,1.79,scattered clouds
285,Boende,CD,-0.2167,20.8667,73.54,81,100,1.72,overcast clouds
286,Lompoc,US,34.6391,-120.4579,64.99,67,1,10.36,clear sky
287,Mana,GF,5.6592,-53.7767,77.29,85,100,11.52,overcast clouds
288,Taltal,CL,-25.4,-70.4833,64.69,76,6,3.02,clear sky
289,Shwebo,MM,22.5667,95.7,62.55,86,12,2.62,few clouds
290,Pacifica,US,37.6138,-122.4869,62.01,77,40,5.75,scattered clouds
291,Linares,CL,-35.85,-71.6,62.51,31,0,4.38,clear sky
292,Japura,ID,-0.3167,102.35,75.06,94,100,0.78,overcast clouds
293,Coromandel,BR,-18.4733,-47.2003,70.43,90,100,4.76,moderate rain
294,Soe,ID,-9.8607,124.284,79.86,71,83,1.59,broken clouds
295,Plastun,RU,44.7561,136.2939,13.28,76,0,13.76,clear sky
296,Nanortalik,GL,60.1432,-45.2371,29.64,94,100,12.35,light snow
297,Bantry,IE,51.6833,-9.45,48.2,100,75,12.66,broken clouds
298,Djougou,BJ,9.7085,1.666,75.2,27,0,6.91,clear sky
299,Pangody,RU,65.85,74.4859,3.02,91,100,18.61,overcast clouds
300,Bredasdorp,ZA,-34.5322,20.0403,68.0,88,100,9.22,overcast clouds
301,Batemans Bay,AU,-35.7167,150.1833,88.0,80,0,5.99,clear sky
302,Iqaluit,CA,63.7506,-68.5145,-13.0,70,20,4.61,few clouds
303,Agadir,MA,30.4202,-9.5982,48.2,93,0,5.75,clear sky
304,Gizo,SB,-8.103,156.8419,85.68,70,72,11.99,broken clouds
305,Krasnoselkup,RU,65.7,82.4667,1.31,94,100,7.63,light snow
306,Turukhansk,RU,65.8167,87.9833,-19.17,86,100,8.9,overcast clouds
307,Grindavik,IS,63.8424,-22.4338,39.2,87,20,13.8,few clouds
308,Luwuk,ID,-0.9516,122.7875,86.02,63,70,1.61,broken clouds
309,Esperance,AU,-33.8667,121.9,62.6,51,90,12.66,overcast clouds
310,Fukue,JP,32.6881,128.8419,48.2,87,40,1.14,scattered clouds
311,Tshikapa,CD,-6.4167,20.8,71.8,89,100,1.3,overcast clouds
312,Matara,LK,5.9485,80.5353,74.59,88,100,6.51,overcast clouds
313,Souillac,MU,-20.5167,57.5167,77.0,88,40,5.75,scattered clouds
314,Marzuq,YE,14.4,46.4667,51.08,47,0,3.0,clear sky
315,San Policarpo,PH,12.1791,125.5072,81.79,82,7,8.99,clear sky
316,Shitanjing,CN,39.2342,106.3439,26.28,64,95,25.03,overcast clouds
317,Codrington,AU,-38.2667,141.9667,65.95,59,93,9.37,overcast clouds
318,Apatity,RU,67.5641,33.4031,-5.73,90,9,3.74,clear sky
319,Puerto Del Rosario,ES,28.5004,-13.8627,59.0,63,0,8.05,clear sky
320,Trinidad,BO,-14.8333,-64.9,76.33,92,100,2.19,light rain
321,Inyonga,TZ,-6.7167,32.0667,65.32,90,100,2.21,light rain
