City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Rosario,AR,78.8,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
268,Maun,BW,71.6,clear sky,-19.9833,23.4167,Enviro Villa
272,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
282,Jaciara,BR,75.2,light rain,-15.9653,-54.9683,Taba Hotel
283,Kapoeta,SS,80.64,scattered clouds,4.7717,33.5903,Eastgate Hotel
287,Mana,GF,77.29,overcast clouds,5.6592,-53.7767,LE SAMANA
292,Japura,ID,75.06,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
293,Coromandel,BR,70.43,moderate rain,-18.4733,-47.2003,Hotel Dona Adélia
294,Soe,ID,79.86,broken clouds,-9.8607,124.28399999999999,Dena Hotel
298,Djougou,BJ,75.2,clear sky,9.7085,1.666,Hotel cathas
301,Batemans Bay,AU,88.0,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
304,Gizo,SB,85.68,broken clouds,-8.103,156.8419,Imagination Island
308,Luwuk,ID,86.02,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
311,Tshikapa,CD,71.8,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
312,Matara,LK,74.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
313,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
315,San Policarpo,PH,81.79,clear sky,12.1791,125.5072,JM Lodge
320,Trinidad,BO,76.33,light rain,-14.8333,-64.9,Hotel Piesta
323,Neuquen,AR,78.8,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
331,Vanimo,PG,87.35,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
332,Muli,MV,81.88,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
337,Santa Maria,BR,71.6,scattered clouds,-29.6842,-53.8069,Hotel Morotin
342,Ilebo,CD,71.42,overcast clouds,-4.3167,20.5833,Hôtel des palmes
343,Oranjestad,AW,80.6,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
344,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
346,Cairns,AU,81.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
347,Gondanglegi,ID,80.87,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
354,Kupang,ID,84.2,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
362,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
363,Santiago,CL,73.0,clear sky,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
365,Macae,BR,77.0,clear sky,-22.3708,-41.7869,Personal Hotel
369,Bang Saphan,TH,75.0,broken clouds,11.2126,99.5117,Sailom Resort Bangsaphan
